web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615575158-3794","https://www.personality-database.com/personality_type/1","92 / 24   2   13  ISTJ5w6Klaus Baudelaire   A Series of Unfortunate Events (Series)","https://www.personality-database.com/profile/5608/klaus-baudelaire-a-series-of-unfortunate-events-series-mbti-personality-type","","I","S","T","J","5w6","sp/sx"
"1615570180-2208","https://www.personality-database.com/personality_type/8","229 / 83   21   78  ISTP8w9James Howlett “Wolverine”   X-Men Cinematic Universe (2000-2009)","https://www.personality-database.com/profile/474/james-howlett-wolverine-xmen-cinematic-universe-20002009-mbti-personality-type","","I","S","T","P","8w9","sp/sx"
"1615565298-1025","https://www.personality-database.com/personality_type/13","619 / 228   225   230  INTP5w4Hiccup Haddock   How to Train Your Dragon (Series)","https://www.personality-database.com/profile/890/hiccup-haddock-how-to-train-your-dragon-series-mbti-personality-type","","I","N","T","P","5w4","sp/so"
"1615566615-1337","https://www.personality-database.com/personality_type/11","155 / 84   58   66  INFP9w1Lily Ki (LilyPichu)   Artists & Animators","https://www.personality-database.com/profile/35184/lily-ki-lilypichu-artists-animators-mbti-personality-type","","I","N","F","P","9w1","so/sx"
"1615568380-1770","https://www.personality-database.com/personality_type/10","411 / 173   89   133  ENFJ3w2Blossom   The Powerpuff Girls (1998)","https://www.personality-database.com/profile/1501/blossom-the-powerpuff-girls-1998-mbti-personality-type","","E","N","F","J","3w2","so/sp"
"1615574874-3707","https://www.personality-database.com/personality_type/2","138 / 57   23   28  ESTJ8w7General Grievous   Star Wars","https://www.personality-database.com/profile/3961/general-grievous-star-wars-mbti-personality-type","","E","S","T","J","8w7","sp/so"
"1615566326-1269","https://www.personality-database.com/personality_type/12","513 / 221   215   221  ENFP4w3Anne Shirley-Cuthbert   Anne with an ""E"" (2017)","https://www.personality-database.com/profile/18714/anne-shirleycuthbert-anne-with-an-e-2017-mbti-personality-type","","E","N","F","P","4w3","so/sx"
"1615574929-3726","https://www.personality-database.com/personality_type/2","170 / 85   80   31  ESTJ8w7Naoka Ueno   Koe no Katachi","https://www.personality-database.com/profile/12589/naoka-ueno-koe-no-katachi-mbti-personality-type","","E","S","T","J","8w7","so/sx"
"1615574614-3611","https://www.personality-database.com/personality_type/2","84 / 34   11   16  ESTJ1w2Zelda Spellman   Chilling Adventures of Sabrina (2018)","https://www.personality-database.com/profile/18298/zelda-spellman-chilling-adventures-of-sabrina-2018-mbti-personality-type","","E","S","T","J","1w2","sp/sx"
"1615566050-1208","https://www.personality-database.com/personality_type/12","255 / 121   39   104  ENFP4w3Ice King   Adventure Time (2010)","https://www.personality-database.com/profile/1262/ice-king-adventure-time-2010-mbti-personality-type","","E","N","F","P","4w3","sx/so"
"1615572393-2851","https://www.personality-database.com/personality_type/5","134 / 23   25   18  ESFP6w7Sophie Turner   Actresses (United Kingdom & Ireland)","https://www.personality-database.com/profile/16716/sophie-turner-actresses-united-kingdom-ireland-mbti-personality-type","","E","S","F","P","6w7","so/sp"
"1615571720-2642","https://www.personality-database.com/personality_type/6","146 / 58   25   48  ISFP4w3Meredith Grey   Grey's Anatomy (2005)","https://www.personality-database.com/profile/1645/meredith-grey-greys-anatomy-2005-mbti-personality-type","","I","S","F","P","4w3","sx/so"
"1615573885-3361","https://www.personality-database.com/personality_type/3","101 / 31   5   19  ISFJ2w3Yamato   Naruto Shippūden","https://www.personality-database.com/profile/1209/yamato-naruto-shippden-mbti-personality-type","","I","S","F","J","2w3","so/sp"
"1615563354-493","https://www.personality-database.com/personality_type/15","440 / 190   82   250  INTJ5w4Jumin Han   Mystic Messenger","https://www.personality-database.com/profile/5857/jumin-han-mystic-messenger-mbti-personality-type","","I","N","T","J","5w4","sp/sx"
"1615573941-3380","https://www.personality-database.com/personality_type/3","113 / 47   7   19  ISFJ9w1Grover Underwood   Camp Half-Blood Chronicles","https://www.personality-database.com/profile/5156/grover-underwood-camp-halfblood-chronicles-mbti-personality-type","","I","S","F","J","9w1","so/sp"
"1615570981-2397","https://www.personality-database.com/personality_type/7","150 / 49   101   21  ESTP8w7MC Poze Do Rodo   Musicians (Brazil)","https://www.personality-database.com/profile/195616/mc-poze-do-rodo-musicians-brazil-mbti-personality-type","","E","S","T","P","8w7","so/sp"
"1615571500-2563","https://www.personality-database.com/personality_type/6","108 / 42   1   50  ISFP9w8Genji Shimada   Overwatch","https://www.personality-database.com/profile/4121/genji-shimada-overwatch-mbti-personality-type","","I","S","F","P","9w8","sx/sp"
"1615562450-237","https://www.personality-database.com/personality_type/16","280 / 158   66   85  ENTJ3w4Louis   Beastars","https://www.personality-database.com/profile/31099/louis-beastars-mbti-personality-type","","E","N","T","J","3w4","so/sp"
"1615571579-2592","https://www.personality-database.com/personality_type/6","119 / 50   50   45  ISFP6w7Mort   Madagascar (Franchise)","https://www.personality-database.com/profile/1944/mort-madagascar-franchise-mbti-personality-type","","I","S","F","P","6w7","sx/so"
"1615575805-4031","https://www.personality-database.com/personality_type/1","558 / 192   135   53  ISTJ6w5Ross Geller   Friends (1994)","https://www.personality-database.com/profile/10/ross-geller-friends-1994-mbti-personality-type","","I","S","T","J","6w5","sp/sx"
