notable_figure,mbti_evsi,mbti_svsn,mbti_tvsf,mbti_pvsj,enneagram,insticnt_variant
124 / 62   14   19  ISTP8w7Sid Phillips   Toy Story (Franchise),I,S,T,P,8w7,sx/sp
"138 / 42   28   16  INTJ6w5Gabriel Agreste ""Hawkmoth""   Miraculous: Tales of Ladybug & Cat Noir (2015)",I,N,T,J,6w5,sx/sp
675 / 230   135   168  ESTP7w8Sirius Black   Harry Potter / Wizarding World Films,E,S,T,P,7w8,sx/so
"546 / 294   208   476  INFP9w1Shigeo ""Mob"" Kageyama   Mob Psycho 100",I,N,F,P,9w1,sp/so
659 / 276   400   258  ENTP9w8Sans   Undertale,E,N,T,P,9w8,sp/so
219 / 88   42   80  INFJ1w2Noora Amalie Sætre   Skam (2015),I,N,F,J,1w2,sp/sx
318 / 109   72   110  ISTP6w5John Wick   John Wick,I,S,T,P,6w5,sp/sx
75 / 33   22   5  ESTJ8w7Queen Calanthe   The Witcher (2019),E,S,T,J,8w7,null
475 / 238   93   193  ENTJ1w2Princess Bubblegum   Adventure Time (2010),E,N,T,J,1w2,so/sp
166 / 54   27   54  INFJ9w1Daenerys Targaryen   A Song of Ice and Fire (Series),I,N,F,J,9w1,so/sx
657 / 237   196   452  INFP4w3Johnny Depp   Actors (USA),I,N,F,P,4w3,sp/sx
283 / 89   93   97  ISTJ6w5Mio Akiyama   K-On!,I,S,T,J,6w5,sp/so
"67 / 23    6  ESTJ1w2Aleksandra Zaryanova ""Zarya""   Overwatch",E,S,T,J,1w2,sp/so
521 / 314   346   300  INFJ4w3MARINA   Musicians (United Kingdom & Ireland),I,N,F,J,4w3,sx/sp
163 / 68   3   26  ISFJ2w1Gilda   Yakusoku no Neverland,I,S,F,J,2w1,sp/so
329 / 98   73   63  ISTP6w5Killua Zoldyck   Hunter X Hunter (1999),I,S,T,P,6w5,sp/sx
145 / 57   57   48  ENTP8w7Phillip “Lip” Gallagher   Shameless (US),E,N,T,P,8w7,sx/sp
696 / 316   286   205  ENFP7w6Michael Scott   The Office (US) (2005),E,N,F,P,7w6,sx/so
1724 / 568   1564   262  ISFP4w3Squidward Tentacles   SpongeBob SquarePants (1999),I,S,T,J,4w3,sp/so
194 / 81   16   62  INFJ6w5Grisha Yeager   Shingeki no Kyojin,I,N,F,J,6w5,so/sp
192 / 59   67   62  ENFP7w6Jackie Chan   Actors & Actresses (Asia),E,N,F,P,7w6,so/sx
93 / 38   9   51  INFJ1w2Takashi Shirogane   Voltron: Legendary Defender (2016),I,N,F,J,1w2,so/sp
265 / 167   27   101  ENFJ2w3Sonia Nevermind   Super Danganronpa 2: Goodbye Despair,E,N,F,J,2w3,so/sx
161 / 74   4   31  ESFJ3w2Caroline Forbes   The Vampire Diaries,E,S,F,J,3w2,so/sx
98 / 42   10   35  ENFJ2w3Morgana Pendragon   Merlin (2008),E,N,F,J,2w3,so/sx
132 / 50   45   64  ISTP8w7Aomine Daiki   Kuroko no Basket,I,S,T,P,8w7,sp/sx
"250 / 145   97   132  ENFP4w3Christine ""Lady Bird"" McPherson   Lady Bird (2017)",E,N,F,P,4w3,sx/so
"103 / 32   4   75  ISFP9w8Josh Dun   Musicians (USA, Male)",I,S,F,P,9w8,sx/so
364 / 203   86   199  INFP4w3Fischl   Genshin Impact,I,N,F,P,4w3,sx/so
162 / 67   21   50  ISFP6w7Spike   My Little Pony: Friendship Is Magic (2010),I,S,F,P,6w7,so/sp
151 / 53   47   58  ISTP7w8Kim HyunJin (LOONA)   K-Pop,I,S,T,P,7w8,sp/sx
236 / 103   49   167  ISFP8w9Ryūko Matoi   Kill la Kill,I,S,F,P,8w9,sx/sp
311 / 124   143   41  ENTP7w8Boris Johnson   Government (Europe),E,N,T,P,7w8,so/sx
83 / 57   5   10  ESFJ3w2Bianca Stratford   10 Things I Hate About You (1999),E,S,F,J,3w2,so/sp
78 / 33   8   16  ENFJ2w1Apu Nahasapeemapetilon   The Simpsons (1989),E,N,F,J,2w1,so/sx
229 / 58   43   57  ENFJ9w8Morpheus   The Matrix Trilogy (The Matrix),E,N,F,J,9w8,so/sx
78 / 35   5   10  ESFJ2w1Alana Bloom   Hannibal (2013),E,S,F,J,2w1,so/sx
145 / 56   11   61  INTP9w1Wing Fledgling   Hunter X Hunter,I,N,T,P,9w1,sp/so
230 / 87   73   43  ESFP9w8Ringo Starr   Musicians (United Kingdom & Ireland),E,S,F,P,9w8,so/sx
89 / 43   2   22  ISFJ9w8Sakura Ogami   Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,I,S,F,J,9w8,sp/sx
94 / 30   6   16  ESFJ2w1Teddy Duncan   Good Luck Charlie (2010),E,S,F,J,2w1,so/sx
329 / 115   60   92  ENFP2w3Sabrina Spellman   Chilling Adventures of Sabrina (2018),E,N,F,P,2w3,so/sx
682 / 263   361   421  INFP4w3David Bowie   Musicians (United Kingdom & Ireland),I,N,F,P,4w3,sx/sp
135 / 63   36   21  ESTJ8w9King Bradley   Fullmetal Alchemist: Brotherhood,E,S,T,J,8w9,sp/so
226 / 121   79   98  ISFP4w5Haru   Beastars,I,S,F,P,4w5,sx/sp
119 / 40   13   24  ENFP4w3Piper Chapman   Orange is the New Black (2013),E,N,F,P,4w3,sx/so
105 / 48   2   4  ESFP7w6Christian Varela Expósito   Élite (2018),E,S,F,P,7w6,so/sx
155 / 97   96   81  ENTP7w8Leo Tsukinaga   Ensemble Stars!,E,N,T,P,7w8,sx/so
125 / 42   14   45  ISFP9w8Miles “Baby”   Baby Driver (2017),I,S,F,P,9w8,sp/sx
100 / 48   54   12  ENTJ1w2Commie (AuthLeft)   Centricide (Jreg),E,N,T,J,1w2,so/sp
345 / 154   92   105  ENTJ3w4Berlín   Money Heist (La Casa de Papel),E,N,T,J,3w4,sx/so
390 / 140   130   144  ESTP8w7Dean Winchester   Supernatural (2005),E,S,T,P,8w7,sx/sp
410 / 102   199   60  ENTP6w7Usopp   One Piece,E,N,F,P,6w7,sp/so
"125 / 75   36   22  ESTP8w7Dave Mustaine   Musicians (USA, Male)",E,S,T,P,8w7,sx/sp
316 / 150   76   87  INTP5w4Abed Nadir   Community (2009),I,N,T,P,5w4,sp/sx
323 / 121   67   168  INTP5w6Deviant Connor   Detroit: Become Human,I,N,T,P,5w6,sp/so
103 / 32   9   22  ISFP4w5THE8 (SEVENTEEN)   K-Pop,I,S,F,P,4w5,sp/sx
130 / 72   11   51  ISTJ3w2Chisato Shirasagi   BanG Dream! Girls Band Party! (Bandori),I,S,T,J,3w2,sp/so
177 / 59   39   28  INTP9w1Gale Boetticher   Breaking Bad (2008),I,N,T,P,9w1,sx/sp
422 / 226   105   419  INFP9w1Mafuyu Satou   Given,I,N,F,P,9w1,sx/sp
69 / 36   8   13  ESFJ3w2Tsunoda   Aggressive Retsuko (Aggretsuko),E,S,F,J,3w2,so/sx
108 / 45   30   55  INTP5w4Kris   Deltarune,I,N,T,P,5w4,sp/sx
"424 / 219   60   349  INFP4w5Edgar Allan Poe   Writers (Literature, Classic)",I,N,F,P,4w5,sp/sx
117 / 40   17   61  INTP5w6Gin Ichimaru   Bleach,I,N,T,P,5w6,sx/sp
735 / 406   456   478  INFP4w5Yuri   Doki Doki Literature Club,I,N,F,P,4w5,sx/sp
"217 / 121   104   137  INTP4w5Osamu Dazai   Writers (Literature, Modern)",I,N,T,P,4w5,sp/so
141 / 73   3   27  ISFJ9w1Elizabeth “Beth” March   Little Women (2019),I,S,F,J,9w1,sx/sp
315 / 145   36   32  ISFJ9w1Cady Heron   Mean Girls (2004),I,S,F,J,9w1,so/sp
299 / 80   109   74  ENTJ3w4Ogai Mori   Bungou Stray Dogs,E,N,T,J,3w4,so/sp
67 / 28   7   4  ESTJ8w7A (The Fourth Raikage)   Naruto Shippūden,E,S,T,J,8w7,null
597 / 165   242   114  ESFP7w8Quentin Tarantino   Film Directors,E,N,F,P,7w8,sp/sx
403 / 163   112   109  ENTJ3w4Julius Caesar   Historical Figures (1st Millenium BCE),E,N,T,J,3w4,so/sp
146 / 59   12   79  INFP9w1Phil Lester (AmazingPhil)   General Vloggers,I,N,F,P,9w1,sp/so
97 / 71   18   52  INFJ4w5Joan of Arc   Clone High (2002),I,N,F,J,4w5,so/sp
157 / 46   57   20  INTJ3w4Claire Underwood   House of Cards,I,N,T,J,3w4,sp/so
128 / 56   17   2  ESTJ3w2Park Dong-ik   Parasite (2019),E,S,T,J,3w2,so/sp
173 / 99   11   68  ISFJ2w1Noelle   Genshin Impact,I,S,F,J,2w1,so/sp
1442 / 347   341   178  ENTP3w2Barack Obama   Presidents of the USA,E,N,T,P,3w2,so/sp
261 / 128   85   56  INFP4w5Britta Perry   Community (2009),I,N,F,P,4w5,so/sx
167 / 54   13   27  ISFP6w5Sméagol   The Lord of the Rings,I,S,F,P,6w5,sx/sp
790 / 366   162   435  INTP6w5Mason “Dipper” Pines   Gravity Falls (2012),I,N,T,P,6w5,sp/so
122 / 49   40   32  ISTP9w8Okazaki Tomoya   Clannad,I,S,T,P,9w8,sp/sx
"166 / 102   50   115  ESFP2w3Jou ""Joe"" Tazuna   Kimi ga Shine (Your Turn to Die)",E,S,F,P,2w3,so/sx
169 / 68   29   15  ESTP8w7Pierce Hawthorne   Community (2009),E,S,T,P,8w7,sx/sp
102 / 30   3   27  ISFP4w3Buttercup   The Princess Bride (1987),I,S,F,P,4w3,sx/sp
119 / 59   5   36  ESFJ6w7Eddie Kaspbrak   It,E,S,F,J,6w7,sp/so
184 / 53   11   47  ESFJ2w3Wendy (Red Velvet)   K-Pop,E,S,F,J,2w3,so/sx
403 / 139   555   125  ISTP7w6Hwang Hyunjin (Stray Kids)   K-Pop,I,S,F,P,7w6,sx/sp
136 / 58   89   31  ISTP8w9Khabib Nurmagomedov   MMA,I,S,T,P,8w9,sp/sx
479 / 227   122   202  INFJ5w6Xingqiu   Genshin Impact,I,N,F,J,5w6,sp/so
126 / 52   7   45  ISTJ5w6Mizutani Shizuku   Tonari no Kaibutsu-kun,I,S,T,J,5w6,sp/so
122 / 46   31   37  ESFJ6w7Darkness   Kono Subarashii Sekai ni Shukufuku wo! (Konosuba),E,S,F,J,6w7,sx/sp
218 / 61   15   55  INFJ1w2Melisandre “The Red Woman”   Game of Thrones (2011),I,N,F,J,1w2,sx/sp
78 / 27   24   19  ESFJ9w1Itsuki Nakano   Gotoubun no Hanayome,E,S,F,J,9w1,sp/so
105 / 52   77   10  ESTP8w7Rodrigo Duterte   Government (Asia),E,S,T,P,8w7,sx/sp
194 / 110   50   79  INTJ6w5Diavolo   JoJo no Kimyou na Bouken,I,N,T,J,6w5,sp/sx
116 / 86   25   63  ESFP4w3Jazmin Bean   Musicians (United Kingdom & Ireland),E,S,F,P,4w3,sx/sp
124 / 48   17   47  ESFP2w3Matsuno Karamatsu   Osomatsu-san,E,S,F,P,2w3,so/sx
218 / 72   25   44  ENFJ3w2Oprah Winfrey   Hosts & Presenters,E,N,F,J,3w2,so/sx
174 / 96   54   64  ENTP3w4Vriska Serket   Homestuck,E,N,T,P,3w4,so/sx
140 / 47   81   42  ISFJ1w2Kim Seungmin (Stray Kids)   K-Pop,I,S,F,J,1w2,sp/so
222 / 96   25   94  ISTJ1w9Sasori   Naruto Shippūden,I,S,T,J,1w9,sp/sx
323 / 139   40   21  ISTJ1w9Angela Martin   The Office (US) (2005),I,S,T,J,1w9,sp/sx
531 / 277   122   425  ENTP7w6Hanako   Jibaku Shounen Hanako-kun,E,N,T,P,7w6,so/sx
1400 / 320   490   232  ENFJ1w2Daenerys Targaryen   Game of Thrones (2011),I,N,F,J,1w2,sx/so
130 / 77   30   81  INFP9w1Evan Hansen   Dear Evan Hansen,I,N,F,P,9w1,sp/sx
255 / 127   44   82  ISFP6w7Glimmer   She-Ra and the Princesses of Power (2018),I,S,F,P,6w7,sx/so
301 / 88   183   46  ESFP7w8John F. Kennedy   Presidents of the USA,E,S,T,P,7w8,so/sx
1133 / 443   863   428  INTJ5w4Suga (BTS)   K-Pop,I,N,T,J,5w4,sp/sx
288 / 179   16   81  ESTJ1w2Kiyotaka Ishimaru   Danganronpa: Trigger Happy Havoc,E,S,T,J,1w2,so/sx
135 / 69   11   55  ESFP7w6Rin Hoshizora   Love Live! School Idol Project,E,S,F,P,7w6,so/sx
95 / 30   3   16  ENTJ3w4Gary Oak (Ōkido Shigeru)   Pokémon,E,N,T,J,3w4,so/sp
109 / 52   22   12  ESFJ2w3Pink Crewmate   Among Us,E,S,F,J,2w3,so/sx
467 / 129   132   61  ESFJ3w4Sansa Stark   Game of Thrones (2011),E,S,F,J,3w4,sp/so
719 / 319   578   241  ENTJ8w9Thomas Shelby   Peaky Blinders (2013),E,N,T,J,8w9,sp/sx
141 / 69   104   36  ENFJ9w8Yu Narukami   Persona 4,E,N,F,J,9w8,so/sp
154 / 85   58   79  ESTP8w7Murdoc Faust Niccals   Musicians (United Kingdom & Ireland),E,S,T,P,8w7,sx/so
562 / 344   147   386  INFP2w1Atsushi Nakajima   Bungou Stray Dogs,I,N,F,P,2w1,sp/so
186 / 69   31   69  ENFJ2w3Finnick Odair   The Hunger Games (Franchise),E,N,F,J,2w3,sx/so
106 / 30   6   33  ESFJ2w3Giselle   Enchanted (2007),E,S,F,J,2w3,so/sx
118 / 37   65   45  ESTJ6w5Chungha   K-Pop,I,S,F,J,6w5,so/sp
173 / 63   39   93  ISTJ6w5Obanai Iguro   Kimetsu no Yaiba,I,S,T,J,6w5,sp/so
174 / 76   32   104  INFP4w5Shizuku Tsukishima   Mimi wo Sumaseba,I,N,F,P,4w5,so/sx
306 / 136   123   65  INTJ3w4Yennefer of Vengerberg   The Witcher (2019),I,N,T,J,3w4,sx/so
92 / 24   16   24  ISFJ1w9Anthony Hopkins   Actors (United Kingdom & Ireland),I,S,F,J,1w9,null
123 / 47   21   22  ESTP7w8JJ Maybank   Outer Banks,E,S,T,P,7w8,sx/so
220 / 101   23   58  ENTJ8w9Olivier Mira Armstrong   Fullmetal Alchemist: Brotherhood,E,N,T,J,8w9,so/sp
235 / 59   85   63  ISFP4w3Kai (EXO)   K-Pop,I,S,F,P,4w3,sx/sp
371 / 154   84   167  INTP5w4Marie Curie   Chemistry,I,N,T,P,5w4,sx/sp
138 / 51   70   61  ESTP7w8Yuta (NCT)   K-Pop,E,S,T,P,7w8,sx/sp
127 / 50   17   17  ENTJ5w6Robert California   The Office (US) (2005),E,N,T,J,5w6,sx/sp
112 / 30   19   35  ISTJ8w9Denzel Washington   Actors (USA),I,S,T,J,8w9,so/sx
637 / 208   52   104  ESTP7w8Han Solo   Star Wars,E,S,T,P,7w8,sp/sx
193 / 88   162   112  ENFP9w1Lee Felix (Stray Kids)   K-Pop,E,N,F,P,9w1,sp/sx
78 / 48   2   5  ESFJ2w1Jill Andersen   Inside Out (2015),E,S,F,J,2w1,so/sp
508 / 136   202   68  ENTJ8w9Tywin Lannister   Game of Thrones (2011),E,N,T,J,8w9,sp/so
146 / 68   29   44  INTP6w5Robbie Shapiro   Victorious (2010),I,N,T,P,6w5,sp/so
303 / 117   48   102  ENFJ1w2Princess Celestia   My Little Pony: Friendship Is Magic (2010),E,N,F,J,1w2,sp/so
137 / 34   9   40  INFJ2w1Jean Valjean   Les Misérables (1985),I,N,F,J,2w1,so/sp
"158 / 54   46   20  ISFP9w1Hila Klein (h3h3Productions)   Social, Cultural & Political Commentators",I,S,F,J,9w1,sp/so
181 / 77   62   57  ISFJ9w1Nihachu   Gaming,I,S,F,J,9w1,so/sp
381 / 151   103   118  INFJ1w9Mohandas “Mahatma” Gandhi   Historical Figures (1900s),I,N,F,J,1w9,so/sp
507 / 208   414   141  ENTP6w7Phoenix Wright   Ace Attorney,E,N,T,P,6w7,so/sp
369 / 170   110   171  ENTP7w8Korosensei   Ansatsu Kyoushitsu,E,N,T,P,7w8,so/sx
290 / 156   69   53  ISFP4w3Joe Gardner   Soul (2020),I,S,F,P,4w3,sp/so
162 / 45   90   62  INTP5w6James Rallison (TheOdd1sOut)   Artists & Animators,I,N,T,P,5w6,sp/so
174 / 96   60   115  INFP4w5Holden Caulfield   The Catcher in the Rye,I,N,F,P,4w5,sx/sp
231 / 102   90   22  ESFJ2w1Daphne Bridgerton   Bridgerton (2020),E,S,F,J,2w1,so/sp
1630 / 410   1464   337  ENTP7w6Felix Kjellberg (PewDiePie)   General Vloggers,I,N,T,P,7w6,sp/sx
312 / 145   75   74  ISTJ1w9Raymond Holt   Brooklyn Nine-Nine,I,S,T,J,1w9,sp/so
183 / 116   50   77  ENTP5w4Mahito   Jujutsu Kaisen,E,N,T,P,5w4,sp/sx
213 / 145   33   38  ESTP8w7Mondo Owada   Danganronpa: Trigger Happy Havoc,E,S,T,P,8w7,sx/so
111 / 44   21   29  ENFJ3w2Stolas   Helluva Boss,E,N,F,J,3w2,sx/so
"201 / 107   58   249  INFP9w1Stuart ""2-D"" Pot   Musicians (United Kingdom & Ireland)",I,N,F,P,9w1,sp/so
294 / 122   74   70  INTP5w6Sollux Captor   Homestuck,I,N,T,P,5w6,sp/sx
209 / 64   680   33  ENFP7w6Felix Lengyel (xQc)   Gaming,E,N,F,P,7w6,sp/sx
343 / 128   115   159  ENFP9w1Mavis Dracula   Hotel Transylvania (2012),E,N,F,P,9w1,so/sx
"1033 / 305   285   424  ENFP6w7Peter Parker ""Spider-Man""   Marvel Cinematic Universe",E,N,F,P,6w7,so/sx
125 / 47   17   39  ISFJ9w1Megumi Tadokoro   Shokugeki no Souma,I,S,F,J,9w1,sx/so
200 / 117   40   51  ESTP7w8Akane Owari   Super Danganronpa 2: Goodbye Despair,E,S,T,P,7w8,sp/sx
631 / 278   216   191  ISFJ9w1Fluttershy   My Little Pony: Friendship Is Magic (2010),I,S,F,J,9w1,sp/so
134 / 42   11   33  ENTP6w5Mr. Robot   Mr. Robot,E,N,T,P,6w5,sx/sp
615 / 248   129   316  ENTP7w6Gumball Watterson   The Amazing World of Gumball (2011),E,N,T,P,7w6,sx/so
295 / 113   201   31  ESFP6w7Floch Forster   Shingeki no Kyojin,E,S,T,P,6w7,sx/sp
81 / 29   2   8  ISFJ9w1Agnes   The Umbrella Academy (2019),I,S,F,J,9w1,so/sx
153 / 82   34   47  ESTP4w3Rio Ranger   Kimi ga Shine (Your Turn to Die),E,S,T,P,4w3,so/sx
143 / 59   61   31  INTJ3w2Shadow Weaver   She-Ra and the Princesses of Power (2018),I,N,T,J,3w2,so/sp
150 / 69   21   24  ENTJ3w4Peach Salinger   You,E,N,T,J,3w4,sx/sp
157 / 77   18   58  ENTP3w2Krone   Yakusoku no Neverland,E,N,T,P,3w2,so/sx
"201 / 81   28   156  ENFP2w1Emily, the Corpse Bride   Corpse Bride (2005)",E,N,F,P,2w1,sx/so
379 / 175   137   206  ENTP7w8Izaya Orihara   Durarara!!,E,N,T,P,7w8,sx/so
386 / 149   82   167  INTP5w4Elliot Alderson   Mr. Robot,I,N,T,P,5w4,sp/sx
270 / 69   12   32  ISTJ1w9Brienne of Tarth   Game of Thrones (2011),I,S,T,J,1w9,sp/so
"443 / 148   86   197  INTP5w4""Neo"" Thomas A. Anderson   The Matrix Trilogy (The Matrix)",I,N,T,P,5w4,sp/sx
188 / 102   36   91  INTP4w5Violet Harmon   American Horror Story (2011),I,N,T,P,4w5,sp/sx
227 / 120   59   55  ENFJ1w2Shaiapouf   Hunter X Hunter,E,N,F,J,1w2,sx/so
70 / 43   1   10  ESTJ8w7Heather Chandler   Heathers,E,S,T,J,8w7,sp/so
265 / 143   167   165  INTP5w4Jschlatt   Gaming,I,N,T,P,5w4,sp/so
152 / 67   9   78  ENFP7w6Camie Utsushimi “Maboromicamie”   Boku no Hero Academia,E,N,F,P,7w6,sx/so
380 / 175   86   135  ENTP5w4Orochimaru   Naruto Shippūden,E,N,T,P,5w4,sp/sx
116 / 30   1   38  INFJ9w1Athelstan   Vikings (2013),I,N,F,J,9w1,sp/so
144 / 64   73   44  ISFJ9w1Furukawa Nagisa   Clannad,I,S,F,J,9w1,sp/so
105 / 46   12   33  ISFP9w1Isak Valtersen   Skam (2015),I,S,F,P,9w1,sp/sx
76 / 29   15   11  ESTJ6w7Kenny   The Walking Dead: Season One,E,S,T,J,6w7,sx/so
231 / 120   101   77  ISTP9w8Arthur Morgan   Red Dead Redemption 2,I,S,T,P,9w8,sp/sx
280 / 140   73   61  ISFP6w7Riley Andersen   Inside Out (2015),I,S,F,P,6w7,so/sx
106 / 30   9   75  INFJ9w1Mitsuki   Boruto - Naruto Next Generations,I,N,F,J,9w1,sp/so
110 / 41   60   41  ESTP3w4CL   K-Pop,E,S,T,P,3w4,sx/so
81 / 28    14  ESTJ8w9Galina 'Red' Reznikov   Orange is the New Black (2013),E,S,T,J,8w9,so/sp
162 / 42   32   86  ENFP7w8Jack Black   Actors (USA),E,N,F,P,7w8,so/sx
639 / 285   249   215  ISTP9w8Shrek   Shrek (Franchise),I,S,T,P,9w8,sp/sx
138 / 66   78   41  ENTJ8w7Johnny Silverhand   Cyberpunk 2077,E,N,T,J,8w7,sx/so
247 / 85   135   80  ENFJ2w3Lucy Heartfilia   Fairy Tail,E,N,F,J,2w3,sx/sp
109 / 38   15   15  ESTP7w8Yumeko Jabami   Kakegurui (2018),E,S,T,P,7w8,so/sx
241 / 91   93   79  INTJ8w7Seto Kaiba   Yu-Gi-Oh! Duel Monsters,I,N,T,J,8w7,so/sp
"154 / 27   31   56  ENTP6w7Mark Twain   Writers (Literature, Classic)",E,N,T,P,6w7,sx/so
1378 / 627   502   734  INFJ6w5Armin Arlert   Shingeki no Kyojin,I,N,F,J,6w5,sp/so
"131 / 54    38  ENFJ2w1Angela Ziegler ""Mercy""   Overwatch",E,N,F,J,2w1,so/sp
65 / 31   8   20  ESTJ3w4Buggy   One Piece,E,S,T,J,3w4,so/sx
217 / 57   20   38  ISTP5w6Lucas   Who Made Me A Princess,I,N,T,P,5w6,sp/sx
360 / 216   48   161  ENFJ2w3Kaede Akamatsu   Danganronpa V3: Killing Harmony,E,N,F,J,2w3,so/sx
70 / 44   10   8  ESTJ3w2Cleopatra   Clone High (2002),E,S,T,J,3w2,so/sx
105 / 39   8   26  ESFP7w8Ruby   Steven Universe (2013),E,S,F,P,7w8,sx/sp
418 / 202   90   132  ESFP7w8Alyssa   The End of the F***ing World (2017),E,S,F,P,7w8,sx/sp
198 / 83   34   33  INTJ5w6Oscar Martinez   The Office (US) (2005),I,N,T,J,5w6,sp/so
"131 / 58   74   23  ESFJ3w2Mariah Carey   Musicians (USA, Female)",E,S,F,J,3w2,sx/so
176 / 75   10   65  INTJ1w9Clarice Starling   The Silence of the Lambs (1991),I,N,T,J,1w9,sp/so
142 / 52   62   78  INFP5w4Isabel Briggs Myers   Psychology & Neuroscience,I,N,F,P,5w4,sp/so
876 / 434   307   176  ESFJ2w1Katara   Avatar: The Last Airbender (2005),E,S,F,J,2w1,so/sp
264 / 118   42   47  ESTJ8w7General Li Shang   Mulan (1998),E,S,T,J,8w7,so/sp
406 / 124   339   73  ENFP6w7Ellen DeGeneres   Hosts & Presenters,E,N,F,P,6w7,so/sp
132 / 49   25   32  INTJ5w6Evelyn Deavor   The Incredibles (Franchise),I,N,T,J,5w6,sp/sx
173 / 67   95   18  ESTP3w4Amber Heard   Actresses (USA),E,S,T,P,3w4,sx/sp
223 / 99   53   73  ESFP6w7Tenko Chabashira   Danganronpa V3: Killing Harmony,E,S,F,P,6w7,so/sx
198 / 64   31   50  INFP9w1Holly Flax   The Office (US) (2005),I,N,F,P,9w1,sx/so
161 / 52   33   13  ESTP7w8James Potter   Harry Potter / Wizarding World Films,E,S,T,P,7w8,sx/so
81 / 36   16   17  ENFJ3w4Asano Gakuhō   Ansatsu Kyoushitsu,E,N,F,J,3w4,so/sp
119 / 43   23   22  ESFP7w8Jinx   League of Legends,E,S,F,P,7w8,sx/so
103 / 40   18   22  INFJ1w9John Doe   Se7en (1995),I,N,F,J,1w9,so/sp
127 / 45   29   33  INTJ4w5Kirei Kotomine   Fate/Zero,I,N,T,J,4w5,sp/sx
186 / 81   94   24  ISTJ1w9Xi Jinping (习近平)   Government (Asia),I,S,T,J,1w9,sp/so
273 / 78   30   52  ISFJ6w7Bilbo Baggins   The Hobbit,I,S,F,J,6w7,sp/so
233 / 73   103   71  ENTP7w8Conan O'Brien   Hosts & Presenters,E,N,T,P,7w8,so/sp
297 / 125   70   121  INTJ5w4Hannibal Lecter   The Silence of the Lambs (1991),I,N,T,J,5w4,sx/sp
88 / 29   20   24  ESFJ2w3Otonashi Yuzuru   Angel Beats!,E,S,F,J,2w3,so/sx
"210 / 81   45   69  ISFJ6w5Edd “Double D”   Ed, Edd n Eddy (1999)",I,S,F,J,6w5,sp/sx
97 / 39   28   28  ENFJ8w9Bo-Peep (Toy Story 4)   Toy Story (Franchise),E,N,F,J,8w9,so/sx
146 / 71   9   16  ESFP8w7Denver   Money Heist (La Casa de Papel),E,S,F,P,8w7,so/sx
1050 / 445   497   341  ENFJ9w1Iroh   Avatar: The Last Airbender (2005),E,N,F,J,9w1,sx/so
"129 / 47   33   51  ENFP4w5Serj Tankian   Musicians (USA, Male)",E,N,F,P,4w5,so/sx
89 / 44   37   42  ENFJ2w3Setsuna Yuki (Nana Nakagawa)   Love Live! Nijigasaki Gakuen School Idol Doukoukai,E,N,F,J,2w3,so/sp
519 / 181   116   127  ENTP3w2Jimmy McGill “Saul Goodman”   Breaking Bad (2008),E,N,T,P,3w2,so/sp
99 / 34   2   11  ESTJ8w9Mr. Potato Head   Toy Story (Franchise),E,S,T,J,8w9,null
231 / 79   92   68  INFJ5w6Thomas Jefferson   Presidents of the USA,I,N,F,J,5w6,so/sp
184 / 96   71   16  ISTP9w8Protagonist   Doki Doki Literature Club,I,S,T,P,9w8,sp/sx
114 / 45   10   25  ISTJ6w5Léon   Léon: The Professional (1994),I,S,T,J,6w5,sp/sx
157 / 62   7   23  ENTJ3w4Gale Hawthorne   The Hunger Games (Franchise),E,N,T,J,3w4,so/sp
243 / 93   44   35  ESTJ3w4Draco Malfoy   Harry Potter (Book Series),E,S,T,J,3w4,sx/sp
398 / 176   139   243  INFJ9w1Nagisa Shiota   Ansatsu Kyoushitsu,I,N,F,J,9w1,so/sp
130 / 38   16   24  ISTJ1w2Confucius   Confucianism,I,S,T,J,1w2,so/sp
205 / 79   112   47  INTJ1w2Andrew Yang   Business,I,N,T,J,1w2,so/sp
428 / 201   164   99  INTP6w5Chidi Anagonye   The Good Place (2016),I,N,T,P,6w5,sp/so
120 / 63   7   14  ESTJ8w7Veruca Salt   Charlie and the Chocolate Factory (2005),E,S,T,J,8w7,sp/so
296 / 119   19   55  ENTP7w8Bumi   Avatar: The Last Airbender (2005),E,N,T,P,7w8,so/sx
131 / 65   30   31  ENTP7w8Solf J. Kimblee   Fullmetal Alchemist: Brotherhood,E,N,T,P,7w8,sp/sx
376 / 159   57   155  ENTP7w6Bugs Bunny   Looney Tunes,E,N,T,P,7w6,so/sp
348 / 178   54   283  INTP5w6Rantaro Amami   Danganronpa V3: Killing Harmony,I,N,T,P,5w6,sp/so
217 / 100   9   42  ESFP7w6Eric Effiong   Sex Education,E,S,F,P,7w6,so/sx
468 / 188   302   327  INFP6w7Timothée Chalamet   Actors (USA),I,N,F,P,6w7,sx/sp
111 / 22   16   26  ENTJ3w4Emma Frost   Marvel Comics,E,N,T,J,3w4,sp/so
298 / 83   29   67  ENTJ3w4Spencer Hastings   Pretty Little Liars,E,N,T,J,3w4,sp/sx
280 / 87   76   40  ESFJ7w6Jimmy Fallon   Hosts & Presenters,E,S,F,J,7w6,so/sp
"123 / 48   85   27  ISFP6w7June Lapine (Shoe0nHead)   Social, Cultural & Political Commentators",I,S,F,P,6w7,so/sx
